Date,Mode,Line_or_Route,Borough_or_Region,Daily_Ridership,Recovery_Percentage,Incident_Type,Delay_Minutes,Peak_Period
2026-02-28,Bus,Bx12,Westchester,830463,83.1,No Incident,0,PM Peak
2026-02-28,LIRR,Long Beach,Queens,162682,76.7,Mechanical Issue,43,Midday
2026-02-28,LIRR,Long Beach,Westchester,191455,74.2,Signal Problem,12,PM Peak
2026-02-28,LIRR,Long Beach,Bronx,155436,84.8,Track Work,19,PM Peak
2026-02-28,LIRR,Port Washington,Brooklyn,147828,72.6,Staffing,13,PM Peak
2026-02-28,Metro-North,Hudson,Queens,149320,78.9,Weather,3,Evening
2026-02-28,Metro-North,New Haven,Staten Island,146107,76.1,No Incident,0,Evening
2026-03-01,Subway,C,Manhattan,2145632,80.9,Staffing,5,PM Peak
2026-03-01,Subway,4,Staten Island,2144751,73.2,Signal Problem,25,PM Peak
2026-03-01,Subway,1,Manhattan,2678784,81.6,No Incident,0,AM Peak
2026-03-01,Subway,R,Manhattan,2323601,74.6,Track Work,9,Midday
2026-03-01,Bus,B46,Brooklyn,728364,78.5,Staffing,40,PM Peak
2026-03-01,Bus,Q10,Manhattan,899076,76.5,Crowding,9,AM Peak
2026-03-01,Bus,B46,Westchester,929486,76.6,No Incident,0,Midday
2026-03-01,LIRR,Hempstead,Manhattan,181464,76.5,Track Work,16,PM Peak
2026-03-01,LIRR,Long Beach,Staten Island,164314,72.7,No Incident,0,PM Peak
2026-03-01,LIRR,Ronkonkoma,Bronx,183380,75.3,Police Activity,18,PM Peak
2026-03-01,LIRR,Port Washington,Staten Island,143531,84.5,No Incident,0,Midday
2026-03-01,Metro-North,Hudson,Long Island,144134,74.2,Crowding,22,Evening
2026-03-01,Metro-North,Hudson,Queens,150503,79.2,No Incident,0,AM Peak
2026-03-01,Metro-North,Harlem,Queens,108388,83.4,No Incident,0,AM Peak
2026-03-02,Subway,2,Westchester,4130453,78.1,No Incident,0,Evening
2026-03-02,Subway,R,Bronx,3933711,71.8,No Incident,0,Evening
2026-03-02,Subway,L,Long Island,4159587,81.3,No Incident,0,Midday
2026-03-02,Bus,M15,Westchester,1432668,73.1,Signal Problem,8,Midday
2026-03-02,Bus,M15,Long Island,1548825,73.1,No Incident,0,PM Peak
2026-03-02,Bus,S79,Long Island,1475269,79.4,Signal Problem,10,AM Peak
2026-03-02,Bus,Bx12,Westchester,1485206,78.5,Mechanical Issue,12,Evening
2026-03-02,LIRR,Ronkonkoma,Bronx,269813,77.6,No Incident,0,PM Peak
2026-03-02,LIRR,Long Beach,Queens,290394,77.9,No Incident,0,AM Peak
2026-03-02,LIRR,Ronkonkoma,Queens,256545,76.1,No Incident,0,Midday
2026-03-02,Metro-North,New Haven,Queens,184937,74.8,No Incident,0,PM Peak
2026-03-02,Metro-North,New Haven,Brooklyn,225476,74.9,Signal Problem,23,AM Peak
2026-03-03,Subway,6,Westchester,3385099,88.4,Weather,8,PM Peak
2026-03-03,Subway,J,Staten Island,2956711,82.8,Police Activity,31,PM Peak
2026-03-03,Subway,2,Westchester,4063001,71.8,Crowding,3,PM Peak
2026-03-03,Subway,Q,Bronx,3502367,66.9,Mechanical Issue,15,AM Peak
2026-03-03,Bus,Q60,Long Island,1430951,84.0,No Incident,0,Midday
2026-03-03,Bus,M15,Staten Island,1448148,72.1,Crowding,24,AM Peak
2026-03-03,Bus,S79,Queens,1518406,79.2,No Incident,0,Midday
2026-03-03,Bus,Bx12,Staten Island,1404023,77.8,No Incident,0,Evening
2026-03-03,LIRR,Babylon,Staten Island,254898,66.4,No Incident,0,AM Peak
2026-03-03,LIRR,Babylon,Staten Island,262031,64.9,Police Activity,40,Evening
2026-03-03,Metro-North,Harlem,Long Island,251497,73.6,No Incident,0,PM Peak
2026-03-03,Metro-North,Harlem,Long Island,233305,69.9,Signal Problem,25,PM Peak
2026-03-03,Metro-North,Hudson,Queens,232629,79.4,No Incident,0,Midday
2026-03-03,Metro-North,New Haven,Brooklyn,242019,79.3,Track Work,15,PM Peak
2026-03-04,Subway,3,Staten Island,4060422,74.3,Staffing,24,Evening
2026-03-04,Subway,F,Staten Island,3532803,86.9,Signal Problem,30,AM Peak
2026-03-04,Subway,N,Manhattan,3900117,79.5,Mechanical Issue,6,Evening
2026-03-04,Subway,N,Queens,3773436,79.5,Crowding,14,Midday
2026-03-04,Bus,B44,Brooklyn,1523964,84.2,Police Activity,20,AM Peak
2026-03-04,Bus,B46,Long Island,1451804,78.2,No Incident,0,Evening
2026-03-04,Bus,Bx12,Manhattan,1426570,72.2,Track Work,39,PM Peak
2026-03-04,LIRR,Long Beach,Brooklyn,269222,74.4,Mechanical Issue,8,AM Peak
2026-03-04,LIRR,Hempstead,Staten Island,256203,80.4,Track Work,4,PM Peak
2026-03-04,Metro-North,New Haven,Long Island,217246,77.8,Mechanical Issue,25,PM Peak
2026-03-04,Metro-North,Hudson,Staten Island,242085,72.7,Track Work,41,Midday
2026-03-05,Subway,3,Brooklyn,3612150,77.8,Signal Problem,23,Evening
2026-03-05,Subway,F,Westchester,4092089,85.2,No Incident,0,AM Peak
2026-03-05,Subway,Q,Manhattan,4101772,73.3,Crowding,9,PM Peak
2026-03-05,Subway,E,Bronx,3449474,72.0,No Incident,0,PM Peak
2026-03-05,Bus,B46,Queens,1311260,66.3,No Incident,0,AM Peak
2026-03-05,Bus,M15,Long Island,1343843,77.5,Weather,3,Evening
2026-03-05,LIRR,Port Washington,Brooklyn,252346,84.3,No Incident,0,PM Peak
2026-03-05,LIRR,Ronkonkoma,Westchester,218042,69.3,No Incident,0,Evening
2026-03-05,Metro-North,New Haven,Queens,254848,72.2,Signal Problem,24,AM Peak
2026-03-05,Metro-North,New Haven,Long Island,198690,80.6,Mechanical Issue,3,AM Peak
2026-03-05,Metro-North,Hudson,Long Island,239228,77.8,No Incident,0,Midday
2026-03-05,Metro-North,Harlem,Brooklyn,229439,81.9,Police Activity,6,AM Peak
2026-03-06,Subway,6,Brooklyn,3606821,78.9,Staffing,5,Evening
2026-03-06,Subway,2,Brooklyn,3489537,71.4,Signal Problem,43,PM Peak
2026-03-06,Bus,Bx12,Manhattan,1492878,67.2,Signal Problem,4,PM Peak
2026-03-06,Bus,Q60,Long Island,1472123,78.1,Police Activity,21,Midday
2026-03-06,Bus,B44,Westchester,1387347,83.1,No Incident,0,PM Peak
2026-03-06,Bus,Bx12,Queens,1612346,82.7,Crowding,14,Midday
2026-03-06,LIRR,Long Beach,Long Island,282214,72.8,Track Work,31,AM Peak
2026-03-06,LIRR,Port Washington,Staten Island,251672,70.8,No Incident,0,AM Peak
2026-03-06,LIRR,Long Beach,Manhattan,229844,76.7,Signal Problem,9,Midday
2026-03-06,LIRR,Port Washington,Westchester,267529,73.8,Crowding,17,AM Peak
2026-03-06,Metro-North,Harlem,Westchester,225662,79.9,Signal Problem,22,PM Peak
2026-03-06,Metro-North,Hudson,Brooklyn,224317,71.0,Track Work,19,Evening
2026-03-06,Metro-North,Hudson,Bronx,217355,74.6,Weather,54,PM Peak
2026-03-06,Metro-North,Harlem,Long Island,203065,66.3,Mechanical Issue,21,PM Peak
2026-03-07,Subway,L,Brooklyn,2724872,80.8,Signal Problem,9,PM Peak
2026-03-07,Subway,E,Queens,2143767,71.9,Track Work,7,AM Peak
2026-03-07,Subway,N,Westchester,2096472,84.0,No Incident,0,Evening
2026-03-07,Subway,E,Staten Island,2605018,76.9,Track Work,11,PM Peak
2026-03-07,Bus,Q10,Westchester,962309,73.1,Signal Problem,13,PM Peak
2026-03-07,Bus,M15,Manhattan,1019068,86.3,No Incident,0,AM Peak
2026-03-07,Bus,Bx12,Queens,748628,78.0,Police Activity,19,AM Peak
2026-03-07,Bus,S79,Queens,941723,80.3,Crowding,14,PM Peak
2026-03-07,LIRR,Babylon,Westchester,139405,76.3,Crowding,3,Midday
2026-03-07,LIRR,Ronkonkoma,Long Island,133506,74.6,Signal Problem,9,PM Peak
2026-03-07,LIRR,Babylon,Manhattan,165227,72.6,Staffing,29,Midday
2026-03-07,Metro-North,New Haven,Staten Island,116339,83.5,Track Work,7,PM Peak
2026-03-07,Metro-North,Hudson,Brooklyn,150629,77.2,No Incident,0,Midday
2026-03-08,Subway,2,Westchester,2910724,77.3,Weather,7,AM Peak
2026-03-08,Subway,6,Bronx,2382808,79.9,Crowding,20,PM Peak
2026-03-08,Bus,Q60,Manhattan,797049,83.3,No Incident,0,AM Peak
2026-03-08,Bus,B46,Manhattan,944343,71.0,No Incident,0,AM Peak
2026-03-08,Bus,Bx12,Manhattan,769880,79.3,Track Work,24,PM Peak
2026-03-08,Bus,Q60,Staten Island,1011364,71.2,No Incident,0,Evening
2026-03-08,LIRR,Ronkonkoma,Queens,146882,83.7,Mechanical Issue,23,Midday
2026-03-08,LIRR,Hempstead,Queens,145394,70.1,No Incident,0,PM Peak
2026-03-08,Metro-North,Harlem,Bronx,129655,75.4,Crowding,8,AM Peak
2026-03-08,Metro-North,Hudson,Bronx,142076,83.4,No Incident,0,PM Peak
2026-03-08,Metro-North,Hudson,Brooklyn,150245,69.6,No Incident,0,AM Peak
2026-03-09,Subway,1,Brooklyn,3695411,71.7,Track Work,40,PM Peak
2026-03-09,Subway,Q,Manhattan,3554760,76.2,Staffing,13,PM Peak
2026-03-09,Subway,A,Bronx,4407074,72.4,Signal Problem,6,PM Peak
2026-03-09,Subway,2,Manhattan,3993936,89.1,Signal Problem,11,PM Peak
2026-03-09,Bus,B46,Staten Island,1557415,75.4,Mechanical Issue,15,PM Peak
2026-03-09,Bus,S79,Long Island,1352983,78.3,Mechanical Issue,7,PM Peak
2026-03-09,LIRR,Babylon,Westchester,289739,69.1,Weather,12,AM Peak
2026-03-09,LIRR,Hempstead,Brooklyn,286228,73.4,Signal Problem,16,Midday
2026-03-09,LIRR,Ronkonkoma,Brooklyn,294402,70.3,Staffing,13,PM Peak
2026-03-09,Metro-North,Harlem,Staten Island,231424,74.4,Track Work,27,Midday
2026-03-09,Metro-North,New Haven,Westchester,263392,69.5,Police Activity,14,PM Peak
2026-03-10,Subway,L,Bronx,4103324,83.7,No Incident,0,PM Peak
2026-03-10,Subway,4,Staten Island,3791141,69.3,No Incident,0,PM Peak
2026-03-10,Subway,5,Manhattan,4256008,76.3,No Incident,0,Evening
2026-03-10,Subway,L,Westchester,3590711,88.5,No Incident,0,Evening
2026-03-10,Bus,B44,Staten Island,1544267,79.2,Crowding,27,PM Peak
2026-03-10,Bus,S79,Brooklyn,1491484,86.0,No Incident,0,PM Peak
2026-03-10,Bus,S79,Bronx,1368473,74.5,Staffing,24,PM Peak
2026-03-10,Bus,B44,Long Island,1304562,76.1,No Incident,0,PM Peak
2026-03-10,LIRR,Port Washington,Queens,263315,77.8,No Incident,0,Evening
2026-03-10,LIRR,Ronkonkoma,Queens,246877,78.7,Signal Problem,3,PM Peak
2026-03-10,LIRR,Hempstead,Staten Island,267456,73.0,Track Work,29,PM Peak
2026-03-10,LIRR,Port Washington,Queens,262495,78.9,Track Work,20,AM Peak
2026-03-10,Metro-North,Hudson,Long Island,222864,79.2,Signal Problem,6,PM Peak
2026-03-10,Metro-North,Harlem,Westchester,181809,71.1,Signal Problem,30,AM Peak
2026-03-10,Metro-North,New Haven,Staten Island,244294,80.4,Police Activity,3,PM Peak
2026-03-11,Subway,E,Westchester,4089092,76.1,No Incident,0,Midday
2026-03-11,Subway,E,Long Island,3838704,76.3,Signal Problem,16,AM Peak
2026-03-11,Subway,A,Long Island,4404268,71.7,Mechanical Issue,26,PM Peak
2026-03-11,Bus,Q10,Westchester,1497724,68.9,No Incident,0,PM Peak
2026-03-11,Bus,Q10,Manhattan,1497260,74.4,Crowding,23,PM Peak
2026-03-11,Bus,Bx12,Staten Island,1302506,71.6,No Incident,0,AM Peak
2026-03-11,LIRR,Port Washington,Staten Island,277565,73.5,Police Activity,30,PM Peak
2026-03-11,LIRR,Long Beach,Westchester,250525,85.4,Staffing,12,AM Peak
2026-03-11,LIRR,Ronkonkoma,Long Island,242310,77.7,Track Work,22,Evening
2026-03-11,LIRR,Port Washington,Brooklyn,298318,71.3,Police Activity,6,AM Peak
2026-03-11,Metro-North,New Haven,Westchester,255861,82.1,No Incident,0,AM Peak
2026-03-11,Metro-North,Hudson,Long Island,234718,80.3,Crowding,5,Evening
2026-03-11,Metro-North,New Haven,Brooklyn,214358,72.7,Police Activity,44,PM Peak
2026-03-11,Metro-North,Hudson,Long Island,239590,77.2,No Incident,0,Midday
2026-03-12,Subway,L,Queens,3891114,66.4,Signal Problem,23,AM Peak
2026-03-12,Subway,A,Bronx,3347672,88.6,Signal Problem,4,Midday
2026-03-12,Subway,F,Manhattan,3707183,79.2,Weather,12,Evening
2026-03-12,Bus,Q10,Long Island,1296266,68.5,Crowding,20,PM Peak
2026-03-12,Bus,S79,Long Island,1466489,62.8,Crowding,11,PM Peak
2026-03-12,Bus,S79,Staten Island,1514899,79.5,No Incident,0,Evening
2026-03-12,Bus,Q10,Queens,1240315,75.9,No Incident,0,PM Peak
2026-03-12,LIRR,Ronkonkoma,Brooklyn,283384,78.1,Mechanical Issue,5,AM Peak
2026-03-12,LIRR,Long Beach,Queens,326952,78.2,Crowding,27,AM Peak
2026-03-12,LIRR,Hempstead,Long Island,262049,76.0,No Incident,0,PM Peak
2026-03-12,LIRR,Babylon,Brooklyn,247910,79.2,Police Activity,25,PM Peak
2026-03-12,Metro-North,Hudson,Staten Island,253915,72.4,Signal Problem,15,PM Peak
2026-03-12,Metro-North,Harlem,Long Island,204444,70.8,Staffing,34,AM Peak
2026-03-13,Subway,R,Brooklyn,3899378,85.8,No Incident,0,PM Peak
2026-03-13,Subway,2,Long Island,3727669,74.3,Weather,15,PM Peak
2026-03-13,Subway,N,Manhattan,4005508,83.2,Track Work,12,Evening
2026-03-13,Subway,6,Queens,4307804,81.4,No Incident,0,PM Peak
2026-03-13,Bus,M15,Staten Island,1555206,77.6,No Incident,0,PM Peak
2026-03-13,Bus,Q60,Brooklyn,1492225,72.5,Police Activity,15,AM Peak
2026-03-13,Bus,Q10,Bronx,1435514,73.5,No Incident,0,AM Peak
2026-03-13,LIRR,Long Beach,Brooklyn,249390,74.7,Signal Problem,19,PM Peak
2026-03-13,LIRR,Ronkonkoma,Bronx,276028,80.8,Police Activity,16,Evening
2026-03-13,LIRR,Ronkonkoma,Queens,271464,75.4,Mechanical Issue,24,Evening
2026-03-13,LIRR,Long Beach,Bronx,271737,73.5,Signal Problem,21,Evening
2026-03-13,Metro-North,Harlem,Westchester,236974,75.7,Crowding,13,Midday
2026-03-13,Metro-North,Harlem,Staten Island,215553,81.0,No Incident,0,PM Peak
2026-03-13,Metro-North,New Haven,Brooklyn,239148,81.4,No Incident,0,Evening
2026-03-14,Subway,L,Bronx,2231296,73.8,Police Activity,3,Evening
2026-03-14,Subway,J,Staten Island,2260971,73.4,Crowding,9,PM Peak
2026-03-14,Subway,R,Brooklyn,2710930,79.9,Track Work,11,AM Peak
2026-03-14,Bus,B46,Westchester,1001821,70.6,No Incident,0,Midday
2026-03-14,Bus,Q10,Staten Island,779555,74.0,Track Work,21,Evening
2026-03-14,LIRR,Babylon,Manhattan,180359,75.2,Weather,17,Midday
2026-03-14,LIRR,Hempstead,Manhattan,171082,76.7,Crowding,16,PM Peak
2026-03-14,LIRR,Ronkonkoma,Manhattan,187312,82.6,Track Work,46,AM Peak
2026-03-14,Metro-North,New Haven,Westchester,141573,79.1,No Incident,0,AM Peak
2026-03-14,Metro-North,New Haven,Staten Island,149943,82.0,Mechanical Issue,7,AM Peak
2026-03-14,Metro-North,Hudson,Long Island,153603,79.3,Weather,3,AM Peak
2026-03-14,Metro-North,Hudson,Staten Island,129480,81.1,Staffing,22,PM Peak
2026-03-15,Subway,3,Staten Island,2261642,69.5,Weather,31,Midday
2026-03-15,Subway,2,Queens,2500159,81.3,Track Work,31,Midday
2026-03-15,Subway,2,Bronx,1905154,76.2,No Incident,0,Midday
2026-03-15,Subway,C,Brooklyn,2363474,69.7,Weather,16,AM Peak
2026-03-15,Bus,Q60,Bronx,1089798,81.3,Staffing,11,AM Peak
2026-03-15,Bus,M15,Bronx,771317,81.2,No Incident,0,AM Peak
2026-03-15,Bus,S79,Queens,1033013,81.8,No Incident,0,Midday
2026-03-15,LIRR,Port Washington,Manhattan,186062,74.3,Signal Problem,36,Midday
2026-03-15,LIRR,Babylon,Queens,147026,84.1,No Incident,0,PM Peak
2026-03-15,Metro-North,New Haven,Bronx,127057,77.5,Mechanical Issue,29,PM Peak
2026-03-15,Metro-North,Harlem,Staten Island,144754,87.1,No Incident,0,Midday
2026-03-16,Subway,C,Queens,3602050,77.5,No Incident,0,Midday
2026-03-16,Subway,4,Queens,3292100,80.0,No Incident,0,Evening
2026-03-16,Subway,1,Long Island,3505235,68.0,Mechanical Issue,6,AM Peak
2026-03-16,Bus,S79,Manhattan,1662405,72.0,No Incident,0,AM Peak
2026-03-16,Bus,M15,Bronx,1500736,83.9,Police Activity,24,PM Peak
2026-03-16,Bus,Bx12,Long Island,1687284,72.5,Signal Problem,9,Evening
2026-03-16,Bus,B44,Staten Island,1384778,68.1,Signal Problem,47,Evening
2026-03-16,LIRR,Port Washington,Manhattan,270108,76.1,Crowding,34,AM Peak
2026-03-16,LIRR,Port Washington,Westchester,278057,76.5,Track Work,11,PM Peak
2026-03-16,Metro-North,Hudson,Brooklyn,213038,69.4,Crowding,41,PM Peak
2026-03-16,Metro-North,New Haven,Queens,244028,67.6,Track Work,20,PM Peak
2026-03-16,Metro-North,Hudson,Brooklyn,231260,76.7,Staffing,9,PM Peak
2026-03-17,Subway,L,Queens,4030532,82.3,Crowding,13,PM Peak
2026-03-17,Subway,5,Bronx,4008858,76.7,Signal Problem,10,PM Peak
2026-03-17,Subway,L,Westchester,3790346,82.3,No Incident,0,Midday
2026-03-17,Subway,R,Westchester,3806710,78.5,Signal Problem,12,Evening
2026-03-17,Bus,M15,Westchester,1598799,85.3,No Incident,0,PM Peak
2026-03-17,Bus,S79,Long Island,1406305,79.6,Mechanical Issue,4,AM Peak
2026-03-17,LIRR,Hempstead,Long Island,238241,73.0,Police Activity,22,Midday
2026-03-17,LIRR,Hempstead,Queens,301532,76.8,Weather,4,AM Peak
2026-03-17,LIRR,Long Beach,Brooklyn,270345,72.3,Mechanical Issue,28,PM Peak
2026-03-17,Metro-North,Hudson,Long Island,210732,71.5,Signal Problem,21,AM Peak
2026-03-17,Metro-North,New Haven,Staten Island,234619,79.3,Staffing,18,AM Peak
2026-03-18,Subway,A,Brooklyn,4187073,73.7,Track Work,5,PM Peak
2026-03-18,Subway,L,Manhattan,3788618,83.1,Mechanical Issue,21,Evening
2026-03-18,Bus,S79,Bronx,1341734,81.9,No Incident,0,PM Peak
2026-03-18,Bus,M15,Queens,1437484,72.7,No Incident,0,Midday
2026-03-18,Bus,Q60,Manhattan,1572800,81.3,Signal Problem,12,Midday
2026-03-18,Bus,B44,Bronx,1417016,86.0,Crowding,15,PM Peak
2026-03-18,LIRR,Ronkonkoma,Queens,277533,82.1,Signal Problem,6,Evening
2026-03-18,LIRR,Long Beach,Staten Island,276254,73.3,Weather,11,AM Peak
2026-03-18,Metro-North,Harlem,Westchester,240985,64.1,No Incident,0,AM Peak
2026-03-18,Metro-North,New Haven,Manhattan,257694,81.9,Track Work,9,PM Peak
2026-03-19,Subway,Q,Bronx,4403076,81.7,No Incident,0,PM Peak
2026-03-19,Subway,1,Westchester,3460449,80.9,No Incident,0,PM Peak
2026-03-19,Subway,E,Long Island,3898004,80.1,Signal Problem,9,PM Peak
2026-03-19,Subway,4,Brooklyn,3726805,76.1,Staffing,17,PM Peak
2026-03-19,Bus,M15,Long Island,1343589,66.9,Signal Problem,45,PM Peak
2026-03-19,Bus,B46,Bronx,1572314,82.7,Crowding,5,PM Peak
2026-03-19,Bus,M15,Long Island,1639173,72.8,Track Work,26,Evening
2026-03-19,LIRR,Ronkonkoma,Bronx,280227,77.9,No Incident,0,PM Peak
2026-03-19,LIRR,Hempstead,Long Island,268736,69.2,No Incident,0,PM Peak
2026-03-19,LIRR,Ronkonkoma,Westchester,274373,69.8,Mechanical Issue,17,Midday
2026-03-19,Metro-North,Harlem,Bronx,219511,86.5,No Incident,0,AM Peak
2026-03-19,Metro-North,Harlem,Brooklyn,232587,74.6,No Incident,0,PM Peak
2026-03-20,Subway,N,Staten Island,3709426,77.4,Weather,10,Midday
2026-03-20,Subway,6,Long Island,3653323,70.9,Track Work,28,Evening
2026-03-20,Subway,3,Brooklyn,3443438,80.3,No Incident,0,Midday
2026-03-20,Bus,Bx12,Long Island,1314425,79.6,Police Activity,5,PM Peak
2026-03-20,Bus,B44,Queens,1571371,75.6,Staffing,13,AM Peak
2026-03-20,Bus,S79,Staten Island,1431753,78.7,No Incident,0,AM Peak
2026-03-20,LIRR,Hempstead,Staten Island,281445,74.2,Signal Problem,12,AM Peak
2026-03-20,LIRR,Hempstead,Staten Island,259333,80.7,Mechanical Issue,15,PM Peak
2026-03-20,LIRR,Babylon,Westchester,286205,77.7,Police Activity,7,Evening
2026-03-20,LIRR,Port Washington,Queens,260079,69.9,Track Work,7,PM Peak
2026-03-20,Metro-North,New Haven,Westchester,225163,82.8,No Incident,0,AM Peak
2026-03-20,Metro-North,New Haven,Queens,238757,72.7,No Incident,0,Midday
2026-03-20,Metro-North,Hudson,Queens,221935,80.2,Weather,13,PM Peak
2026-03-20,Metro-North,Hudson,Bronx,242766,77.1,Signal Problem,27,Evening
2026-03-21,Subway,4,Queens,2499245,70.7,Track Work,38,PM Peak
2026-03-21,Subway,3,Westchester,2142779,74.1,Track Work,3,PM Peak
2026-03-21,Subway,J,Westchester,2203805,73.4,No Incident,0,AM Peak
2026-03-21,Subway,C,Bronx,2687471,75.2,No Incident,0,AM Peak
2026-03-21,Bus,B44,Queens,871942,77.9,No Incident,0,Evening
2026-03-21,Bus,B44,Long Island,786016,83.6,Police Activity,15,AM Peak
2026-03-21,LIRR,Ronkonkoma,Long Island,195404,74.8,Mechanical Issue,23,AM Peak
2026-03-21,LIRR,Babylon,Brooklyn,124433,79.1,Signal Problem,8,Evening
2026-03-21,LIRR,Port Washington,Long Island,157458,85.7,Mechanical Issue,7,AM Peak
2026-03-21,Metro-North,Hudson,Long Island,106856,68.5,Staffing,15,Midday
2026-03-21,Metro-North,Harlem,Manhattan,174760,74.8,No Incident,0,AM Peak
2026-03-21,Metro-North,Harlem,Bronx,133533,79.7,No Incident,0,AM Peak
2026-03-22,Subway,E,Manhattan,2483188,80.0,Crowding,15,PM Peak
2026-03-22,Subway,A,Long Island,2165064,82.3,Signal Problem,13,Evening
2026-03-22,Subway,C,Westchester,2508518,71.5,Weather,8,Midday
2026-03-22,Subway,Q,Bronx,2266099,79.7,Crowding,18,Evening
2026-03-22,Bus,Q10,Long Island,926698,80.2,Mechanical Issue,7,PM Peak
2026-03-22,Bus,M15,Bronx,996289,70.7,Signal Problem,16,Evening
2026-03-22,Bus,B44,Westchester,906419,79.1,Track Work,22,Evening
2026-03-22,Bus,Bx12,Long Island,811164,71.6,No Incident,0,Midday
2026-03-22,LIRR,Hempstead,Staten Island,176020,85.9,No Incident,0,Evening
2026-03-22,LIRR,Hempstead,Staten Island,155145,75.3,No Incident,0,PM Peak
2026-03-22,LIRR,Port Washington,Manhattan,120926,80.6,No Incident,0,AM Peak
2026-03-22,Metro-North,Harlem,Long Island,127738,80.2,Crowding,7,PM Peak
2026-03-22,Metro-North,Harlem,Brooklyn,151142,78.6,Mechanical Issue,9,Evening
2026-03-22,Metro-North,Harlem,Queens,149677,65.4,Police Activity,12,AM Peak
2026-03-22,Metro-North,Hudson,Bronx,171693,74.7,No Incident,0,Evening
2026-03-23,Subway,L,Manhattan,3127718,78.4,No Incident,0,AM Peak
2026-03-23,Subway,C,Bronx,3800849,78.0,No Incident,0,PM Peak
2026-03-23,Subway,F,Brooklyn,3670779,75.6,No Incident,0,PM Peak
2026-03-23,Bus,B46,Queens,1531247,73.5,No Incident,0,Evening
2026-03-23,Bus,M15,Bronx,1365968,70.5,Crowding,31,PM Peak
2026-03-23,Bus,B44,Staten Island,1586636,69.2,Crowding,6,PM Peak
2026-03-23,LIRR,Ronkonkoma,Long Island,282287,76.4,Signal Problem,11,AM Peak
2026-03-23,LIRR,Port Washington,Westchester,304124,72.9,Crowding,24,Midday
2026-03-23,Metro-North,New Haven,Manhattan,242829,75.8,Track Work,19,AM Peak
2026-03-23,Metro-North,New Haven,Westchester,236080,80.1,No Incident,0,PM Peak
2026-03-23,Metro-North,New Haven,Staten Island,214285,73.3,Crowding,17,Midday
2026-03-24,Subway,Q,Westchester,4215587,81.3,Mechanical Issue,17,Evening
2026-03-24,Subway,1,Bronx,3682710,76.3,Crowding,10,Evening
2026-03-24,Subway,C,Long Island,3168247,77.2,No Incident,0,Midday
2026-03-24,Bus,B46,Staten Island,1687653,72.2,Crowding,22,Midday
2026-03-24,Bus,Q60,Queens,1353611,83.2,Police Activity,12,Midday
2026-03-24,LIRR,Port Washington,Manhattan,253584,64.2,No Incident,0,AM Peak
2026-03-24,LIRR,Hempstead,Westchester,250462,77.7,Track Work,6,PM Peak
2026-03-24,LIRR,Port Washington,Westchester,264998,77.8,Weather,30,PM Peak
2026-03-24,LIRR,Port Washington,Bronx,257687,67.4,Police Activity,25,AM Peak
2026-03-24,Metro-North,Harlem,Queens,229653,87.6,Weather,13,Midday
2026-03-24,Metro-North,Harlem,Brooklyn,249037,76.5,Police Activity,29,AM Peak
2026-03-24,Metro-North,New Haven,Manhattan,217126,78.1,No Incident,0,PM Peak
2026-03-24,Metro-North,New Haven,Staten Island,249050,85.6,Mechanical Issue,6,PM Peak
2026-03-25,Subway,Q,Manhattan,3830762,75.8,Signal Problem,26,PM Peak
2026-03-25,Subway,C,Staten Island,3772538,73.9,Police Activity,25,Evening
2026-03-25,Subway,E,Brooklyn,3624125,76.3,No Incident,0,PM Peak
2026-03-25,Bus,M15,Long Island,1366483,80.6,No Incident,0,PM Peak
2026-03-25,Bus,Q10,Brooklyn,1370277,69.6,Signal Problem,32,PM Peak
2026-03-25,Bus,Q60,Manhattan,1379981,84.1,Crowding,10,AM Peak
2026-03-25,LIRR,Babylon,Staten Island,266876,80.3,No Incident,0,PM Peak
2026-03-25,LIRR,Port Washington,Long Island,276672,75.2,Signal Problem,12,AM Peak
2026-03-25,LIRR,Ronkonkoma,Bronx,251517,76.7,No Incident,0,PM Peak
2026-03-25,LIRR,Port Washington,Bronx,251484,71.2,No Incident,0,PM Peak
2026-03-25,Metro-North,Harlem,Westchester,206846,78.4,Mechanical Issue,8,PM Peak
2026-03-25,Metro-North,Harlem,Westchester,225861,81.1,Police Activity,14,PM Peak
2026-03-26,Subway,1,Bronx,3473275,72.6,No Incident,0,AM Peak
2026-03-26,Subway,2,Manhattan,3832487,68.4,Track Work,25,AM Peak
2026-03-26,Subway,6,Bronx,3852790,79.5,Track Work,6,PM Peak
2026-03-26,Bus,S79,Bronx,1505861,69.6,No Incident,0,Evening
2026-03-26,Bus,S79,Manhattan,1398981,71.3,Weather,40,PM Peak
2026-03-26,Bus,B46,Staten Island,1466001,76.7,Crowding,8,PM Peak
2026-03-26,Bus,B44,Long Island,1354727,78.8,Signal Problem,23,AM Peak
2026-03-26,LIRR,Ronkonkoma,Long Island,296672,86.4,No Incident,0,Evening
2026-03-26,LIRR,Hempstead,Long Island,267938,84.6,No Incident,0,AM Peak
2026-03-26,LIRR,Babylon,Westchester,266504,75.9,Crowding,24,PM Peak
2026-03-26,Metro-North,Hudson,Brooklyn,224947,78.9,Crowding,37,AM Peak
2026-03-26,Metro-North,New Haven,Brooklyn,238402,73.6,Police Activity,13,PM Peak
2026-03-26,Metro-North,Hudson,Westchester,254364,72.3,Police Activity,30,AM Peak
